IDs,Sub_ID,Extension,Baitset
TCGA-EE-A29Q-06,TCGA-EE-A29Q,6,Agilent Custom
TCGA-EE-A29R-06,TCGA-EE-A29R,6,Agilent Custom
TCGA-EE-A29T-06,TCGA-EE-A29T,6,Agilent Custom
TCGA-EE-A29X-06,TCGA-EE-A29X,6,Agilent Custom
TCGA-EE-A2A0-06,TCGA-EE-A2A0,6,Agilent Custom
TCGA-EE-A2GD-06,TCGA-EE-A2GD,6,Agilent Custom
TCGA-EE-A2GK-06,TCGA-EE-A2GK,6,Agilent Custom
TCGA-EE-A2GL-06,TCGA-EE-A2GL,6,Agilent Custom
TCGA-EE-A2GM-06,TCGA-EE-A2GM,6,Agilent Custom
TCGA-EE-A2GO-06,TCGA-EE-A2GO,6,Agilent Custom
TCGA-EE-A2GS-06,TCGA-EE-A2GS,6,Agilent Custom
TCGA-EE-A2GU-06,TCGA-EE-A2GU,6,Agilent Custom
TCGA-EE-A2M8-06,TCGA-EE-A2M8,6,Agilent Custom
TCGA-EE-A2MF-06,TCGA-EE-A2MF,6,Agilent Custom
TCGA-EE-A2MK-06,TCGA-EE-A2MK,6,Agilent Custom
TCGA-EE-A2MM-06,TCGA-EE-A2MM,6,Agilent Custom
TCGA-EE-A2MP-06,TCGA-EE-A2MP,6,Agilent Custom
TCGA-EE-A2MQ-06,TCGA-EE-A2MQ,6,Agilent Custom
TCGA-EE-A3AE-06,TCGA-EE-A3AE,6,Agilent Custom
TCGA-EE-A3AF-06,TCGA-EE-A3AF,6,Agilent Custom
TCGA-EE-A3JB-06,TCGA-EE-A3JB,6,Agilent Custom
TCGA-ER-A197-06,TCGA-ER-A197,6,Agilent Custom
TCGA-ER-A199-06,TCGA-ER-A199,6,Agilent Custom
TCGA-ER-A19D-06,TCGA-ER-A19D,6,Agilent Custom
TCGA-ER-A19E-06,TCGA-ER-A19E,6,Agilent Custom
TCGA-ER-A19G-06,TCGA-ER-A19G,6,Agilent Custom
TCGA-ER-A19P-06,TCGA-ER-A19P,6,Agilent Custom
TCGA-ER-A19Q-06,TCGA-ER-A19Q,6,Agilent Custom
TCGA-ER-A19S-06,TCGA-ER-A19S,6,Agilent Custom
TCGA-ER-A19W-06,TCGA-ER-A19W,6,Agilent Custom
TCGA-ER-A2NG-06,TCGA-ER-A2NG,6,Agilent Custom
TCGA-ER-A3ET-06,TCGA-ER-A3ET,6,Agilent Custom
TCGA-ER-A42K-06,TCGA-ER-A42K,6,Agilent Custom
TCGA-FR-A3YO-06,TCGA-FR-A3YO,6,Agilent Custom
TCGA-FR-A44A-06,TCGA-FR-A44A,6,Agilent Custom
TCGA-FR-A69P-06,TCGA-FR-A69P,6,Agilent Custom
TCGA-FR-A729-06,TCGA-FR-A729,6,Agilent Custom
TCGA-FR-A7U9-06,TCGA-FR-A7U9,6,Agilent Custom
TCGA-FR-A7UA-06,TCGA-FR-A7UA,6,Agilent Custom
TCGA-FR-A8YD-06,TCGA-FR-A8YD,6,Agilent Custom
TCGA-FS-A1YY-06,TCGA-FS-A1YY,6,Agilent Custom
TCGA-FS-A1Z0-06,TCGA-FS-A1Z0,6,Agilent Custom
TCGA-FS-A1Z3-06,TCGA-FS-A1Z3,6,Agilent Custom
TCGA-FS-A1ZA-06,TCGA-FS-A1ZA,6,Agilent Custom
TCGA-FS-A1ZF-06,TCGA-FS-A1ZF,6,Agilent Custom
TCGA-FS-A1ZG-06,TCGA-FS-A1ZG,6,Agilent Custom
TCGA-FS-A1ZH-06,TCGA-FS-A1ZH,6,Agilent Custom
TCGA-FS-A1ZJ-06,TCGA-FS-A1ZJ,6,Agilent Custom
TCGA-FS-A1ZU-06,TCGA-FS-A1ZU,6,Agilent Custom
TCGA-FS-A1ZZ-06,TCGA-FS-A1ZZ,6,Agilent Custom
TCGA-FS-A4F0-06,TCGA-FS-A4F0,6,Agilent Custom
TCGA-FS-A4F5-06,TCGA-FS-A4F5,6,Agilent Custom
TCGA-FS-A4FB-06,TCGA-FS-A4FB,6,Agilent Custom
TCGA-FS-A4FC-06,TCGA-FS-A4FC,6,Agilent Custom
TCGA-FW-A3TU-06,TCGA-FW-A3TU,6,Agilent Custom
TCGA-FW-A3TV-06,TCGA-FW-A3TV,6,Agilent Custom
TCGA-FW-A5DY-06,TCGA-FW-A5DY,6,Agilent Custom
TCGA-GF-A3OT-06,TCGA-GF-A3OT,6,Agilent Custom
TCGA-GF-A4EO-06,TCGA-GF-A4EO,6,Agilent Custom
TCGA-GF-A6C8-06,TCGA-GF-A6C8,6,Agilent Custom
TCGA-GN-A262-06,TCGA-GN-A262,6,Agilent Custom
TCGA-GN-A268-06,TCGA-GN-A268,6,Agilent Custom
TCGA-GN-A26A-06,TCGA-GN-A26A,6,Agilent Custom
TCGA-GN-A26D-06,TCGA-GN-A26D,6,Agilent Custom
TCGA-GN-A4U7-06,TCGA-GN-A4U7,6,Agilent Custom
